order_item_id,order_id,product_id,quantity,item_price
1,1,160,2,180.07
2,2,33,4,138.62
3,2,172,1,178.08
4,3,56,4,60.22
5,3,180,3,93.39
6,3,197,3,206.01
7,3,43,5,374.77
8,3,156,1,217.74
9,4,80,1,36.69
10,4,149,1,320.37
11,5,148,4,6.76
12,5,102,2,30.04
13,5,20,5,415.56
14,6,27,3,85.51
15,6,176,5,178.82
16,7,145,1,453.14
17,8,137,4,466.22
18,8,170,3,430.00
19,8,18,5,486.69
20,9,4,4,297.29
21,9,126,1,69.78
22,9,111,3,112.76
23,10,182,2,176.12
24,10,112,2,291.69
25,10,188,5,474.69
26,10,167,3,402.11
27,11,138,4,469.77
28,11,120,4,291.56
29,11,188,5,474.69
30,11,69,3,439.61
31,11,63,1,80.66
32,12,116,2,33.16
33,12,193,4,279.43
34,12,146,5,50.69
35,13,87,1,336.14
36,13,127,3,231.33
37,13,47,4,379.11
38,13,55,3,385.46
39,14,88,3,271.92
40,14,153,3,42.25
41,14,143,1,345.31
42,15,49,1,397.08
43,15,62,4,421.63
44,15,126,5,69.78
45,15,195,2,340.27
46,15,177,4,341.36
47,16,115,1,253.91
48,16,24,3,428.38
49,16,57,4,83.29
50,16,178,2,469.92
51,17,170,5,430.00
52,17,95,4,35.00
53,17,142,5,360.22
54,18,109,5,146.20
55,18,85,3,430.52
56,18,180,4,93.39
57,19,79,3,64.90
58,19,60,1,256.30
59,19,185,2,131.09
60,20,31,5,269.40
61,20,196,2,309.68
62,20,50,2,300.22
63,21,71,5,408.93
64,21,195,5,340.27
65,21,153,3,42.25
66,21,26,2,319.66
67,22,59,3,486.08
68,22,46,3,257.22
69,22,4,5,297.29
70,23,71,1,408.93
71,23,14,5,55.59
72,24,179,2,439.13
73,24,164,4,441.30
74,24,27,1,85.51
75,25,73,4,473.69
76,25,123,4,467.68
77,25,88,2,271.92
78,25,14,3,55.59
79,25,123,1,467.68
80,26,103,4,484.65
81,27,148,1,6.76
82,28,39,5,110.25
83,28,78,1,221.86
84,29,31,5,269.40
85,29,196,4,309.68
86,30,153,5,42.25
87,30,58,5,477.14
88,30,98,4,270.46
89,30,114,3,29.82
90,30,151,4,278.08
91,31,146,5,50.69
92,31,16,5,303.84
93,31,190,1,361.28
94,32,161,2,487.05
95,32,68,1,123.53
96,33,62,2,421.63
97,33,142,1,360.22
98,34,1,4,17.38
99,34,116,5,33.16
100,35,75,1,482.36
101,35,60,3,256.30
102,35,181,3,23.94
103,35,180,4,93.39
104,36,176,2,178.82
105,37,161,5,487.05
106,37,170,2,430.00
107,37,109,1,146.20
108,38,58,2,477.14
109,38,69,2,439.61
110,38,19,1,44.01
111,38,43,3,374.77
112,38,153,5,42.25
113,39,113,1,375.25
114,39,120,3,291.56
115,39,180,4,93.39
116,40,129,5,41.26
117,40,127,4,231.33
118,40,21,5,290.79
119,41,111,3,112.76
120,42,65,1,301.48
121,42,24,2,428.38
122,42,173,5,115.35
123,42,151,1,278.08
124,42,196,3,309.68
125,43,11,2,350.58
126,43,121,5,311.59
127,43,167,4,402.11
128,43,72,2,68.55
