order_id,customer_id,order_date,total_amount
1,114,2025-11-13,360.14
2,173,2025-11-13,732.56
3,55,2025-11-13,3230.67
4,131,2025-11-13,357.06
5,122,2025-11-13,2164.92
6,189,2025-11-13,1150.63
7,44,2025-11-13,453.14
8,169,2025-11-13,5588.33
9,22,2025-11-13,1597.22
10,73,2025-11-13,4515.40
11,132,2025-11-13,6818.26
12,170,2025-11-13,1437.49
13,163,2025-11-13,3702.95
14,159,2025-11-13,1287.82
15,86,2025-11-13,4478.48
16,24,2025-11-13,2812.05
17,193,2025-11-13,4091.10
18,61,2025-11-13,2396.12
19,173,2025-11-13,713.18
20,80,2025-11-13,2566.80
21,58,2025-11-13,4512.07
22,51,2025-11-13,3716.35
23,38,2025-11-13,686.88
24,7,2025-11-13,2728.97
25,12,2025-11-13,4943.77
26,63,2025-11-13,1938.60
27,122,2025-11-13,6.76
28,157,2025-11-13,773.11
29,197,2025-11-13,2585.72
30,19,2025-11-13,4880.57
31,117,2025-11-13,2133.93
32,107,2025-11-13,1097.63
33,162,2025-11-13,1203.48
34,148,2025-11-13,235.32
35,50,2025-11-13,1696.64
36,184,2025-11-13,357.64
37,179,2025-11-13,3441.45
38,99,2025-11-13,3213.07
39,127,2025-11-13,1623.49
40,103,2025-11-13,2585.57
41,63,2025-11-13,338.28
42,38,2025-11-13,2942.11
43,168,2025-11-13,4344.57
44,177,2025-11-13,4288.97
45,2,2025-11-13,3601.76
46,193,2025-11-13,4943.79
47,198,2025-11-13,888.63
48,28,2025-11-13,2638.12
49,200,2025-11-13,4470.49
50,109,2025-11-13,2189.91
51,57,2025-11-13,3428.84
52,46,2025-11-13,1440.88
53,179,2025-11-13,477.14
54,133,2025-11-13,2738.87
55,119,2025-11-13,2846.09
56,13,2025-11-13,2081.75
57,143,2025-11-13,835.89
58,64,2025-11-13,5778.50
59,32,2025-11-13,4760.71
60,117,2025-11-13,1185.12
61,35,2025-11-13,2200.04
62,119,2025-11-13,375.25
63,171,2025-11-13,3207.96
64,136,2025-11-13,7193.97
65,144,2025-11-13,5043.95
66,153,2025-11-13,59.64
67,82,2025-11-13,1306.18
68,194,2025-11-13,2887.37
69,114,2025-11-13,2352.79
