payment_id,order_id,payment_method,status,payment_date
1,1,paypal,completed,2025-11-17
2,2,credit_card,completed,2025-11-18
3,3,bank_transfer,completed,2025-11-17
4,4,gift_card,completed,2025-11-15
5,5,debit_card,completed,2025-11-17
6,6,credit_card,completed,2025-11-18
7,7,bank_transfer,completed,2025-11-17
8,8,gift_card,completed,2025-11-14
9,9,gift_card,completed,2025-11-18
10,10,debit_card,completed,2025-11-16
11,11,debit_card,completed,2025-11-18
12,12,gift_card,completed,2025-11-13
13,13,credit_card,failed,2025-11-18
14,14,credit_card,completed,2025-11-14
15,15,paypal,pending,2025-11-16
16,16,debit_card,completed,2025-11-16
17,17,debit_card,completed,2025-11-16
18,18,gift_card,pending,2025-11-16
19,19,bank_transfer,completed,2025-11-17
20,20,credit_card,pending,2025-11-18
21,21,debit_card,completed,2025-11-18
22,22,debit_card,completed,2025-11-17
23,23,paypal,completed,2025-11-17
24,24,bank_transfer,pending,2025-11-18
25,25,bank_transfer,completed,2025-11-17
26,26,debit_card,completed,2025-11-15
27,27,gift_card,completed,2025-11-16
28,28,gift_card,completed,2025-11-15
29,29,paypal,pending,2025-11-15
30,30,bank_transfer,pending,2025-11-17
31,31,debit_card,completed,2025-11-14
32,32,gift_card,pending,2025-11-15
33,33,debit_card,completed,2025-11-15
34,34,paypal,completed,2025-11-15
35,35,debit_card,completed,2025-11-18
36,36,bank_transfer,completed,2025-11-18
37,37,bank_transfer,completed,2025-11-15
38,38,gift_card,completed,2025-11-15
39,39,paypal,completed,2025-11-18
40,40,credit_card,completed,2025-11-15
41,41,gift_card,completed,2025-11-17
42,42,bank_transfer,completed,2025-11-16
43,43,debit_card,pending,2025-11-15
44,44,credit_card,completed,2025-11-15
45,45,credit_card,completed,2025-11-15
46,46,bank_transfer,completed,2025-11-15
47,47,paypal,completed,2025-11-18
48,48,bank_transfer,failed,2025-11-18
49,49,debit_card,completed,2025-11-14
50,50,paypal,completed,2025-11-17
51,51,paypal,completed,2025-11-17
52,52,credit_card,pending,2025-11-14
53,53,gift_card,completed,2025-11-17
54,54,debit_card,failed,2025-11-14
55,55,gift_card,completed,2025-11-13
56,56,debit_card,completed,2025-11-14
57,57,credit_card,completed,2025-11-13
58,58,paypal,completed,2025-11-16
59,59,bank_transfer,pending,2025-11-18
60,60,debit_card,completed,2025-11-13
61,61,gift_card,completed,2025-11-13
62,62,bank_transfer,completed,2025-11-14
63,63,bank_transfer,failed,2025-11-18
64,64,debit_card,completed,2025-11-16
65,65,paypal,pending,2025-11-15
66,66,credit_card,completed,2025-11-15
67,67,gift_card,completed,2025-11-13
68,68,gift_card,completed,2025-11-14
69,69,credit_card,completed,2025-11-18
70,70,bank_transfer,completed,2025-11-14
71,71,credit_card,completed,2025-11-14
72,72,bank_transfer,completed,2025-11-16
73,73,paypal,pending,2025-11-14
74,74,credit_card,pending,2025-11-13
75,75,gift_card,pending,2025-11-15
76,76,credit_card,completed,2025-11-17
77,77,paypal,completed,2025-11-15
78,78,gift_card,completed,2025-11-16
79,79,bank_transfer,completed,2025-11-17
80,80,gift_card,completed,2025-11-14
81,81,paypal,completed,2025-11-16
82,82,credit_card,completed,2025-11-14
83,83,debit_card,completed,2025-11-15
84,84,bank_transfer,pending,2025-11-18
85,85,paypal,completed,2025-11-18
86,86,debit_card,completed,2025-11-18
87,87,paypal,completed,2025-11-13
88,88,gift_card,completed,2025-11-15
89,89,debit_card,pending,2025-11-18
90,90,gift_card,completed,2025-11-14
91,91,bank_transfer,pending,2025-11-18
92,92,gift_card,completed,2025-11-16
93,93,credit_card,completed,2025-11-15
94,94,credit_card,completed,2025-11-16
95,95,debit_card,completed,2025-11-14
96,96,paypal,completed,2025-11-16
97,97,credit_card,completed,2025-11-14
98,98,bank_transfer,completed,2025-11-15
99,99,bank_transfer,completed,2025-11-14
100,100,paypal,completed,2025-11-15
101,101,gift_card,completed,2025-11-15
102,102,gift_card,completed,2025-11-18
103,103,paypal,failed,2025-11-13
104,104,paypal,completed,2025-11-18
105,105,debit_card,pending,2025-11-18
106,106,credit_card,completed,2025-11-13
107,107,paypal,completed,2025-11-16
108,108,bank_transfer,completed,2025-11-14
109,109,gift_card,completed,2025-11-18
110,110,paypal,completed,2025-11-18
111,111,credit_card,completed,2025-11-18
112,112,paypal,completed,2025-11-18
113,113,gift_card,completed,2025-11-15
114,114,debit_card,completed,2025-11-14
115,115,bank_transfer,completed,2025-11-14
116,116,bank_transfer,completed,2025-11-14
117,117,gift_card,pending,2025-11-18
118,118,bank_transfer,failed,2025-11-15
